층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
2F,MAIN,2F 본관 복도 02,2F_MAIN_CORRIDOR_02,SPACE_2F_MAIN_CORRIDOR_02,촬영사진_넣는곳/2층/복도/교무실에서 과학실까지 복도/,사진보관/원본/2층/복도/교무실에서 과학실까지 복도/
2F,ANNEX,2F 별관 복도,2F_ANNEX_CORRIDOR_01,SPACE_2F_ANNEX_CORRIDOR_01,촬영사진_넣는곳/2층/복도/개별학습실2에서 1-1 교실까지 복도/,사진보관/원본/2층/복도/개별학습실2에서 1-1 교실까지 복도/
2F,MAIN,2F 본관 계단 A,2F_MAIN_STAIR_A,SPACE_2F_MAIN_STAIR_A,촬영사진_넣는곳/2층/계단/돌봄교실(꿈희망) 옆 한국어학급 쪽 계단/,사진보관/원본/2층/계단/돌봄교실(꿈희망) 옆 한국어학급 쪽 계단/
2F,MAIN,2F 본관 계단 B,2F_MAIN_STAIR_B,SPACE_2F_MAIN_STAIR_B,촬영사진_넣는곳/2층/계단/교무실 앞 3학년 연수실 옆 계단/,사진보관/원본/2층/계단/교무실 앞 3학년 연수실 옆 계단/
2F,ANNEX,2F 별관 계단 D,2F_ANNEX_STAIR_D,SPACE_2F_ANNEX_STAIR_D,촬영사진_넣는곳/2층/계단/개별학습실2 옆 연결복도 쪽 계단/,사진보관/원본/2층/계단/개별학습실2 옆 연결복도 쪽 계단/
2F,MAIN,2F 본관 화장실 A,2F_MAIN_TOILET_A,SPACE_2F_MAIN_TOILET_A,촬영사진_넣는곳/2층/기타_촬영전허가필요/돌봄교실(꿈희망) 쪽 화장실/,사진보관/원본/2층/기타_촬영전허가필요/돌봄교실(꿈희망) 쪽 화장실/
2F,MAIN,2F 본관 화장실 B,2F_MAIN_TOILET_B,SPACE_2F_MAIN_TOILET_B,촬영사진_넣는곳/2층/기타_촬영전허가필요/방송실(교원회의실) 쪽 화장실/,사진보관/원본/2층/기타_촬영전허가필요/방송실(교원회의실) 쪽 화장실/
2F,ANNEX,2F 별관 화장실,2F_ANNEX_TOILET_A,SPACE_2F_ANNEX_TOILET_A,촬영사진_넣는곳/2층/기타_촬영전허가필요/개별학습실2 쪽 화장실/,사진보관/원본/2층/기타_촬영전허가필요/개별학습실2 쪽 화장실/
3F,MAIN,3F 본관 복도 01,3F_MAIN_CORRIDOR_01,SPACE_3F_MAIN_CORRIDOR_01,촬영사진_넣는곳/3층/복도/5-7 교실에서 5-3 교실까지 복도/,사진보관/원본/3층/복도/5-7 교실에서 5-3 교실까지 복도/
3F,MAIN,3F 본관 복도 02,3F_MAIN_CORRIDOR_02,SPACE_3F_MAIN_CORRIDOR_02,촬영사진_넣는곳/3층/복도/5-2 교실에서 4-6 교실까지 복도/,사진보관/원본/3층/복도/5-2 교실에서 4-6 교실까지 복도/
