층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
3F,MAIN,4-5 교실,3F_4-5,SPACE_3F_4-5,촬영사진_넣는곳/3층/교실/본관__4-5 교실/,photos/raw/3F/classrooms/4-5/
3F,MAIN,4-6 교실,3F_4-6,SPACE_3F_4-6,촬영사진_넣는곳/3층/교실/본관__4-6 교실/,photos/raw/3F/classrooms/4-6/
2F,ANNEX,3-7 교실,2F_3-7,SPACE_2F_3-7,촬영사진_넣는곳/2층/교실/별관__3-7 교실/,photos/raw/2F/classrooms/3-7/
4F,MAIN,6-1 교실,4F_6-1,SPACE_4F_6-1,촬영사진_넣는곳/4층/교실/본관__6-1 교실/,photos/raw/4F/classrooms/6-1/
4F,MAIN,6-2 교실,4F_6-2,SPACE_4F_6-2,촬영사진_넣는곳/4층/교실/본관__6-2 교실/,photos/raw/4F/classrooms/6-2/
4F,MAIN,6-3 교실,4F_6-3,SPACE_4F_6-3,촬영사진_넣는곳/4층/교실/본관__6-3 교실/,photos/raw/4F/classrooms/6-3/
4F,MAIN,6-4 교실,4F_6-4,SPACE_4F_6-4,촬영사진_넣는곳/4층/교실/본관__6-4 교실/,photos/raw/4F/classrooms/6-4/
4F,MAIN,6-5 교실,4F_6-5,SPACE_4F_6-5,촬영사진_넣는곳/4층/교실/본관__6-5 교실/,photos/raw/4F/classrooms/6-5/
4F,MAIN,6-6 교실,4F_6-6,SPACE_4F_6-6,촬영사진_넣는곳/4층/교실/본관__6-6 교실/,photos/raw/4F/classrooms/6-6/
4F,MAIN,6-7 교실,4F_6-7,SPACE_4F_6-7,촬영사진_넣는곳/4층/교실/본관__6-7 교실/,photos/raw/4F/classrooms/6-7/
4F,MAIN,4-1 교실,4F_4-1,SPACE_4F_4-1,촬영사진_넣는곳/4층/교실/본관__4-1 교실/,photos/raw/4F/classrooms/4-1/
4F,MAIN,4-2 교실,4F_4-2,SPACE_4F_4-2,촬영사진_넣는곳/4층/교실/본관__4-2 교실/,photos/raw/4F/classrooms/4-2/
4F,MAIN,4-3 교실,4F_4-3,SPACE_4F_4-3,촬영사진_넣는곳/4층/교실/본관__4-3 교실/,photos/raw/4F/classrooms/4-3/
4F,ANNEX,4-4 교실,4F_4-4,SPACE_4F_4-4,촬영사진_넣는곳/4층/교실/별관__4-4 교실/,photos/raw/4F/classrooms/4-4/
3F,ANNEX,4-7 교실,3F_4-7,SPACE_3F_4-7,촬영사진_넣는곳/3층/교실/별관__4-7 교실/,photos/raw/3F/classrooms/4-7/
3F,ANNEX,4-8 교실,3F_4-8,SPACE_3F_4-8,촬영사진_넣는곳/3층/교실/별관__4-8 교실/,photos/raw/3F/classrooms/4-8/
1F,MAIN,창고 1,1F_STORAGE_1,SPACE_1F_STORAGE_1,촬영사진_넣는곳/1층/특별실_지원실/본관__창고 1/,photos/raw/1F/special_rooms/storage_1/
1F,MAIN,창고 2,1F_STORAGE_2,SPACE_1F_STORAGE_2,촬영사진_넣는곳/1층/특별실_지원실/본관__창고 2/,photos/raw/1F/special_rooms/storage_2/
1F,MAIN,다목적실,1F_MULTIPURPOSE,SPACE_1F_MULTIPURPOSE,촬영사진_넣는곳/1층/특별실_지원실/본관__다목적실/,photos/raw/1F/special_rooms/multipurpose/
1F,MAIN,숙직실,1F_NIGHT_DUTY,SPACE_1F_NIGHT_DUTY,촬영사진_넣는곳/1층/특별실_지원실/본관__숙직실/,photos/raw/1F/special_rooms/night_duty/
1F,MAIN,행정실,1F_ADMIN,SPACE_1F_ADMIN,촬영사진_넣는곳/1층/특별실_지원실/본관__행정실/,photos/raw/1F/special_rooms/admin/
1F,MAIN,보건실,1F_NURSE,SPACE_1F_NURSE,촬영사진_넣는곳/1층/특별실_지원실/본관__보건실/,photos/raw/1F/special_rooms/nurse/
1F,MAIN,발간실,1F_PRINTING,SPACE_1F_PRINTING,촬영사진_넣는곳/1층/특별실_지원실/본관__발간실/,photos/raw/1F/special_rooms/printing/
1F,MAIN,배식차 보관실,1F_MEAL_CART_STORAGE,SPACE_1F_MEAL_CART_STORAGE,촬영사진_넣는곳/1층/특별실_지원실/본관__배식차 보관실/,photos/raw/1F/special_rooms/meal_cart_storage/
1F,EAST_WING,영양교사실,1F_NUTRITION,SPACE_1F_NUTRITION,촬영사진_넣는곳/1층/특별실_지원실/본관_동쪽__영양교사실/,photos/raw/1F/special_rooms/nutrition/
1F,EAST_WING,조리실,1F_COOKING,SPACE_1F_COOKING,촬영사진_넣는곳/1층/특별실_지원실/본관_동쪽__조리실/,photos/raw/1F/special_rooms/cooking/
1F,EAST_WING,급식실,1F_CAFETERIA,SPACE_1F_CAFETERIA,촬영사진_넣는곳/1층/특별실_지원실/본관_동쪽__급식실/,photos/raw/1F/special_rooms/cafeteria/
3F,ANNEX,1학년 연수실,3F_GRADE1_RESEARCH,SPACE_3F_GRADE1_RESEARCH,촬영사진_넣는곳/3층/특별실_지원실/별관__1학년 연수실/,photos/raw/3F/special_rooms/grade1_research/
4F,ANNEX,까치방,4F_KINDERGARTEN,SPACE_4F_KINDERGARTEN,촬영사진_넣는곳/4층/특별실_지원실/별관__까치방/,photos/raw/4F/special_rooms/kindergarten/
4F,ANNEX,컴퓨터실,4F_COMPUTER,SPACE_4F_COMPUTER,촬영사진_넣는곳/4층/특별실_지원실/별관__컴퓨터실/,photos/raw/4F/special_rooms/computer/
2F,MAIN,시청각실,2F_AUDIO_VISUAL,SPACE_2F_AUDIO_VISUAL,촬영사진_넣는곳/2층/특별실_지원실/본관__시청각실/,photos/raw/2F/special_rooms/audio_visual/
2F,MAIN,한국어학급,2F_KOREAN_CLASS,SPACE_2F_KOREAN_CLASS,촬영사진_넣는곳/2층/특별실_지원실/본관__한국어학급/,photos/raw/2F/special_rooms/korean_class/
2F,MAIN,돌봄교실(꿈희망),2F_CARE_DREAM_HOPE,SPACE_2F_CARE_DREAM_HOPE,촬영사진_넣는곳/2층/특별실_지원실/본관__돌봄교실(꿈희망)/,photos/raw/2F/special_rooms/care_dream_hope/
2F,MAIN,돌봄교실(꿈소망),2F_CARE_DREAM_WISH,SPACE_2F_CARE_DREAM_WISH,촬영사진_넣는곳/2층/특별실_지원실/본관__돌봄교실(꿈소망)/,photos/raw/2F/special_rooms/care_dream_wish/
